lanelet_id, adjacentLeft_id, predecessor_id, successor_id
100, 105, 101 ,103
100, 105, 102 ,104
105, 100, 106 ,108
105, 100, 107 ,109
110, 113, 111 ,107
110, 113, 109 ,112
114, 117, 108 ,106
114, 117, 115 ,116
117, 114, 103 ,101
117, 114, 112 ,111
113, 110, 104 ,115
113, 110, 116 ,102
108, -1, 105 ,114
101, -1, 117 ,100
115, -1, 113 ,114
111, -1, 117 ,110
102, -1, 113 ,100
109, -1, 105 ,110
106, -1, 114 ,105
103, -1, 100 ,117
107, -1, 110 ,105
104, -1, 100 ,113
112, -1, 110 ,117
116, -1, 114 ,113
