vEV_mph,vVA_mph,vOV_mph,DCD_m,vEV _mps,vVA_mps,vOV_mps
5,0,5,90.83351932,2.222222222,0,2.222222222
5,0,10,137.4107675,2.222222222,0,4.444444444
5,0,20,230.9359604,2.222222222,0,8.888888889
5,0,30,325.6430039,2.222222222,0,13.33333333
5,0,40,420.2802864,2.222222222,0,17.77777778
5,0,50,516.377442,2.222222222,0,22.22222222
5,0,60,612.1268142,2.222222222,0,26.66666667
5,0,70,709.6140819,2.222222222,0,31.11111111
5,1,5,110.078023,2.222222222,0.444444444,2.222222222
5,1,10,166.2775229,2.222222222,0.444444444,4.444444444
5,1,20,279.0472194,2.222222222,0.444444444,8.888888889
5,1,30,392.9987666,2.222222222,0.444444444,13.33333333
5,1,40,506.8805528,2.222222222,0.444444444,17.77777778
5,1,50,622.222212,2.222222222,0.444444444,22.22222222
5,1,60,737.2160879,2.222222222,0.444444444,26.66666667
5,1,70,853.9478592,2.222222222,0.444444444,31.11111111
10,0,5,67.93901569,4.444444444,0,2.222222222
10,0,10,91.6217602,4.444444444,0,4.444444444
10,0,20,139.3579458,4.444444444,0,8.888888889
10,0,30,188.275982,4.444444444,0,13.33333333
10,0,40,237.1242573,4.444444444,0,17.77777778
10,0,50,287.4324056,4.444444444,0,22.22222222
10,0,60,337.3927706,4.444444444,0,26.66666667
10,0,70,389.091031,4.444444444,0,31.11111111
10,1,5,74.35385023,4.444444444,0.444444444,2.222222222
10,1,10,100.1748729,4.444444444,0.444444444,4.444444444
10,1,20,152.1876149,4.444444444,0.444444444,8.888888889
10,1,30,205.3822075,4.444444444,0.444444444,13.33333333
10,1,40,258.5070391,4.444444444,0.444444444,17.77777778
10,1,50,313.0917438,4.444444444,0.444444444,22.22222222
10,1,60,367.3286651,4.444444444,0.444444444,26.66666667
10,1,70,423.3034819,4.444444444,0.444444444,31.11111111
10,5,5,125.6725266,4.444444444,2.222222222,2.222222222
10,5,10,168.5997748,4.444444444,2.222222222,4.444444444
10,5,20,254.8249676,4.444444444,2.222222222,8.888888889
10,5,30,342.2320111,4.444444444,2.222222222,13.33333333
10,5,40,429.5692937,4.444444444,2.222222222,17.77777778
10,5,50,518.3664493,4.444444444,2.222222222,22.22222222
10,5,60,606.8158215,4.444444444,2.222222222,26.66666667
10,5,70,697.0030892,4.444444444,2.222222222,31.11111111
20,0,5,56.49176387,8.888888889,0,2.222222222
20,0,10,68.72725657,8.888888889,0,4.444444444
20,0,20,93.56893852,8.888888889,0,8.888888889
20,0,30,119.5924711,8.888888889,0,13.33333333
20,0,40,145.5462428,8.888888889,0,17.77777778
20,0,50,172.9598874,8.888888889,0,22.22222222
20,0,60,200.0257488,8.888888889,0,26.66666667
20,0,70,228.8295055,8.888888889,0,31.11111111
20,1,5,59.0239354,8.888888889,0.444444444,2.222222222
20,1,10,71.7658624,8.888888889,0.444444444,4.444444444
20,1,20,97.62041297,8.888888889,0.444444444,8.888888889
20,1,30,124.6568142,8.888888889,0.444444444,13.33333333
20,1,40,151.6234544,8.888888889,0.444444444,17.77777778
20,1,50,180.0499677,8.888888889,0.444444444,22.22222222
20,1,60,208.1286977,8.888888889,0.444444444,26.66666667
20,1,70,237.9453231,8.888888889,0.444444444,31.11111111
20,5,5,72.52885023,8.888888889,2.222222222,2.222222222
20,5,10,87.9717602,8.888888889,2.222222222,4.444444444
20,5,20,119.2282767,8.888888889,2.222222222,8.888888889
20,5,30,151.6666438,8.888888889,2.222222222,13.33333333
20,5,40,184.03525,8.888888889,2.222222222,17.77777778
20,5,50,217.8637293,8.888888889,2.222222222,22.22222222
20,5,60,251.3444251,8.888888889,2.222222222,26.66666667
20,5,70,286.5630165,8.888888889,2.222222222,31.11111111
20,10,5,104.603023,8.888888889,4.444444444,2.222222222
20,10,10,126.4607675,8.888888889,4.444444444,4.444444444
20,10,20,170.5469531,8.888888889,4.444444444,8.888888889
20,10,30,215.8149893,8.888888889,4.444444444,13.33333333
20,10,40,261.0132646,8.888888889,4.444444444,17.77777778
20,10,50,307.6714129,8.888888889,4.444444444,22.22222222
20,10,60,353.9817779,8.888888889,4.444444444,26.66666667
20,10,70,402.0300383,8.888888889,4.444444444,31.11111111
30,0,5,52.67601326,13.33333333,0,2.222222222
30,0,10,61.09575535,13.33333333,0,4.444444444
30,0,20,78.3059361,13.33333333,0,8.888888889
30,0,30,96.69796747,13.33333333,0,13.33333333
30,0,40,115.0202379,13.33333333,0,17.77777778
30,0,50,134.8023814,13.33333333,0,22.22222222
30,0,60,154.2367415,13.33333333,0,26.66666667
30,0,70,175.4089971,13.33333333,0,31.11111111
30,1,5,54.2244216,13.33333333,0.444444444,2.222222222
30,1,10,62.86536488,13.33333333,0.444444444,4.444444444
30,1,20,80.51794801,13.33333333,0.444444444,8.888888889
30,1,30,99.35238177,13.33333333,0.444444444,13.33333333
30,1,40,118.1170546,13.33333333,0.444444444,17.77777778
30,1,50,138.3416004,13.33333333,0.444444444,22.22222222
30,1,60,158.2183629,13.33333333,0.444444444,26.66666667
30,1,70,179.8330209,13.33333333,0.444444444,31.11111111
30,5,5,61.65678162,13.33333333,2.222222222,2.222222222
30,5,10,71.35949063,13.33333333,2.222222222,4.444444444
30,5,20,91.13560519,13.33333333,2.222222222,8.888888889
30,5,30,112.0935704,13.33333333,2.222222222,13.33333333
30,5,40,132.9817746,13.33333333,2.222222222,17.77777778
30,5,50,155.3298519,13.33333333,2.222222222,22.22222222
30,5,60,177.3301458,13.33333333,2.222222222,26.66666667
30,5,70,201.0683352,13.33333333,2.222222222,31.11111111
30,10,5,75.12793417,13.33333333,4.444444444,2.222222222
30,10,10,86.75509354,13.33333333,4.444444444,4.444444444
30,10,20,110.3801088,13.33333333,4.444444444,8.888888889
30,10,30,135.1869748,13.33333333,4.444444444,13.33333333
30,10,40,159.9240797,13.33333333,4.444444444,17.77777778
30,10,50,186.1210577,13.33333333,4.444444444,22.22222222
30,10,60,211.9702524,13.33333333,4.444444444,26.66666667
30,10,70,239.5573425,13.33333333,4.444444444,31.11111111
30,20,5,142.4836969,13.33333333,8.888888889,2.222222222
30,20,10,163.7331081,13.33333333,8.888888889,4.444444444
30,20,20,206.602627,13.33333333,8.888888889,8.888888889
30,20,30,250.6539966,13.33333333,8.888888889,13.33333333
30,20,40,294.6356052,13.33333333,8.888888889,17.77777778
30,20,50,340.0770868,13.33333333,8.888888889,22.22222222
30,20,60,385.1707851,13.33333333,8.888888889,26.66666667
30,20,70,432.0023789,13.33333333,8.888888889,31.11111111
40,0,5,50.76813796,17.77777778,0,2.222222222
40,0,10,57.28000475,17.77777778,0,4.444444444
40,0,20,70.67443489,17.77777778,0,8.888888889
40,0,30,85.25071565,17.77777778,0,13.33333333
40,0,40,99.75723547,17.77777778,0,17.77777778
40,0,50,115.7236283,17.77777778,0,22.22222222
40,0,60,131.3422378,17.77777778,0,26.66666667
40,0,70,148.6987428,17.77777778,0,31.11111111
40,1,5,51.87839778,17.77777778,0.444444444,2.222222222
40,1,10,58.51362677,17.77777778,0.444444444,4.444444444
40,1,20,72.15478132,17.77777778,0.444444444,8.888888889
40,1,30,86.97778649,17.77777778,0.444444444,13.33333333
40,1,40,101.7310307,17.77777778,0.444444444,17.77777778
40,1,50,117.944148,17.77777778,0.444444444,22.22222222
40,1,60,133.8094819,17.77777778,0.444444444,26.66666667
40,1,70,151.4127113,17.77777778,0.444444444,31.11111111
40,5,5,56.95387127,17.77777778,2.222222222,2.222222222
40,5,10,64.15304176,17.77777778,2.222222222,4.444444444
40,5,20,78.9220793,17.77777778,2.222222222,8.888888889
40,5,30,94.87296747,17.77777778,2.222222222,13.33333333
40,5,40,110.7540947,17.77777778,2.222222222,17.77777778
40,5,50,128.095095,17.77777778,2.222222222,22.22222222
40,5,60,145.0883119,17.77777778,2.222222222,26.66666667
40,5,70,163.8194242,17.77777778,2.222222222,31.11111111
40,10,5,65.20151569,17.77777778,4.444444444,2.222222222
40,10,10,73.31709111,17.77777778,4.444444444,4.444444444
40,10,20,89.91893852,17.77777778,4.444444444,8.888888889
40,10,30,107.7026366,17.77777778,4.444444444,13.33333333
40,10,40,125.4165737,17.77777778,4.444444444,17.77777778
40,10,50,144.5903838,17.77777778,4.444444444,22.22222222
40,10,60,163.4164106,17.77777778,4.444444444,26.66666667
40,10,70,183.9803328,17.77777778,4.444444444,31.11111111
40,20,5,94.06827114,17.77777778,8.888888889,2.222222222
40,20,10,105.3912638,17.77777778,8.888888889,4.444444444
40,20,20,128.4079458,17.77777778,8.888888889,8.888888889
40,20,30,152.6064784,17.77777778,8.888888889,13.33333333
40,20,40,176.73525,17.77777778,8.888888889,17.77777778
40,20,50,202.3238947,17.77777778,8.888888889,22.22222222
40,20,60,227.564756,17.77777778,8.888888889,26.66666667
40,20,70,254.5435128,17.77777778,8.888888889,31.11111111
40,30,5,180.6685375,17.77777778,13.33333333,2.222222222
40,30,10,201.613782,17.77777778,13.33333333,4.444444444
40,30,20,243.8749676,17.77777778,13.33333333,8.888888889
40,30,30,287.3180039,17.77777778,13.33333333,13.33333333
40,30,40,330.6912791,17.77777778,13.33333333,17.77777778
40,30,50,375.5244275,17.77777778,13.33333333,22.22222222
40,30,60,420.0097924,17.77777778,13.33333333,26.66666667
40,30,70,466.2330528,17.77777778,13.33333333,31.11111111
50,0,5,49.62341278,22.22222222,0,2.222222222
50,0,10,54.99055438,22.22222222,0,4.444444444
50,0,20,66.09553416,22.22222222,0,8.888888889
50,0,30,78.38236456,22.22222222,0,13.33333333
50,0,40,90.59943402,22.22222222,0,17.77777778
50,0,50,104.2763765,22.22222222,0,22.22222222
50,0,60,117.6055357,22.22222222,0,26.66666667
50,0,70,132.6725903,22.22222222,0,31.11111111
50,1,5,50.48745171,22.22222222,0.444444444,2.222222222
50,1,10,55.93314232,22.22222222,0.444444444,4.444444444
50,1,20,67.19522008,22.22222222,0.444444444,8.888888889
50,1,30,79.63914847,22.22222222,0.444444444,13.33333333
50,1,40,92.01331592,22.22222222,0.444444444,17.77777778
50,1,50,105.8473564,22.22222222,0.444444444,22.22222222
50,1,60,119.3336135,22.22222222,0.444444444,26.66666667
50,1,70,134.5577661,22.22222222,0.444444444,31.11111111
50,5,5,54.32762478,22.22222222,2.222222222,2.222222222
50,5,10,60.12242202,22.22222222,2.222222222,4.444444444
50,5,20,72.08271307,22.22222222,2.222222222,8.888888889
50,5,30,85.22485475,22.22222222,2.222222222,13.33333333
50,5,40,98.29723547,22.22222222,2.222222222,17.77777778
50,5,50,112.8294893,22.22222222,2.222222222,22.22222222
50,5,60,127.0139597,22.22222222,2.222222222,26.66666667
50,5,70,142.9363255,22.22222222,2.222222222,31.11111111
50,10,5,60.20788978,22.22222222,4.444444444,2.222222222
50,10,10,66.53725657,22.22222222,4.444444444,4.444444444
50,10,20,79.5666867,22.22222222,4.444444444,8.888888889
50,10,30,93.77796747,22.22222222,4.444444444,13.33333333
50,10,40,107.9194873,22.22222222,4.444444444,17.77777778
50,10,50,123.5208802,22.22222222,4.444444444,22.22222222
50,10,60,138.7744897,22.22222222,4.444444444,26.66666667
50,10,70,155.7659946,22.22222222,4.444444444,31.11111111
50,20,5,77.84868478,22.22222222,8.888888889,2.222222222
50,20,10,85.7817602,22.22222222,8.888888889,4.444444444
50,20,20,102.0186076,22.22222222,8.888888889,8.888888889
50,20,30,119.4373057,22.22222222,8.888888889,13.33333333
50,20,40,136.7862428,22.22222222,8.888888889,17.77777778
50,20,50,155.5950529,22.22222222,8.888888889,22.22222222
50,20,60,174.0560797,22.22222222,8.888888889,26.66666667
50,20,70,194.2550019,22.22222222,8.888888889,31.11111111
50,30,5,113.1302748,22.22222222,13.33333333,2.222222222
50,30,10,124.2707675,22.22222222,13.33333333,4.444444444
50,30,20,146.9224494,22.22222222,13.33333333,8.888888889
50,30,30,170.755982,22.22222222,13.33333333,13.33333333
50,30,40,194.5197537,22.22222222,13.33333333,17.77777778
50,30,50,219.7433984,22.22222222,13.33333333,22.22222222
50,30,60,244.6192597,22.22222222,13.33333333,26.66666667
50,30,70,271.2330165,22.22222222,13.33333333,31.11111111
50,40,5,218.9750448,22.22222222,17.77777778,2.222222222
50,40,10,239.7377893,22.22222222,17.77777778,4.444444444
50,40,20,281.6339749,22.22222222,17.77777778,8.888888889
50,40,30,324.7120111,22.22222222,17.77777778,13.33333333
50,40,40,367.7202864,22.22222222,17.77777778,17.77777778
50,40,50,412.1884347,22.22222222,17.77777778,22.22222222
50,40,60,456.3087997,22.22222222,17.77777778,26.66666667
50,40,70,502.1670601,22.22222222,17.77777778,31.11111111
60,0,5,48.86026265,26.66666667,0,2.222222222
60,0,10,53.46425414,26.66666667,0,4.444444444
60,0,20,63.04293367,26.66666667,0,8.888888889
60,0,30,73.80346384,26.66666667,0,13.33333333
60,0,40,84.49423305,26.66666667,0,17.77777778
60,0,50,96.64487531,26.66666667,0,22.22222222
60,0,60,108.4477342,26.66666667,0,26.66666667
60,0,70,121.9884886,26.66666667,0,31.11111111
60,1,5,49.56698171,26.66666667,0.444444444,2.222222222
60,1,10,54.22533621,26.66666667,0.444444444,4.444444444
60,1,20,63.91274175,26.66666667,0.444444444,8.888888889
60,1,30,74.78199792,26.66666667,0.444444444,13.33333333
60,1,40,85.58149314,26.66666667,0.444444444,17.77777778
60,1,50,97.84086141,26.66666667,0.444444444,22.22222222
60,1,60,109.7524463,26.66666667,0.444444444,26.66666667
60,1,70,123.4019267,26.66666667,0.444444444,31.11111111
60,5,5,52.6508467,26.66666667,2.222222222,2.222222222
60,5,10,57.54642158,26.66666667,2.222222222,4.444444444
60,5,20,67.70826789,26.66666667,2.222222222,8.888888889
60,5,30,79.05196483,26.66666667,2.222222222,13.33333333
60,5,40,90.32590082,26.66666667,2.222222222,17.77777778
60,5,50,103.0597099,26.66666667,2.222222222,22.22222222
60,5,60,115.4457355,26.66666667,2.222222222,26.66666667
60,5,70,129.5696567,26.66666667,2.222222222,31.11111111
60,10,5,57.19954756,26.66666667,4.444444444,2.222222222
60,10,10,62.4450225,26.66666667,4.444444444,4.444444444
60,10,20,73.30666895,26.66666667,4.444444444,8.888888889
60,10,30,85.35016602,26.66666667,4.444444444,13.33333333
60,10,40,97.32390214,26.66666667,4.444444444,17.77777778
60,10,50,110.7575113,26.66666667,4.444444444,22.22222222
60,10,60,123.8433371,26.66666667,4.444444444,26.66666667
60,10,70,138.6670584,26.66666667,4.444444444,31.11111111
60,20,5,69.70847493,26.66666667,8.888888889,2.222222222
60,20,10,75.91617505,26.66666667,8.888888889,4.444444444
60,20,20,88.70227186,26.66666667,8.888888889,8.888888889
60,20,30,102.6702193,26.66666667,8.888888889,13.33333333
60,20,40,116.5684058,26.66666667,8.888888889,17.77777778
60,20,50,131.9264653,26.66666667,8.888888889,22.22222222
60,20,60,146.9367415,26.66666667,8.888888889,26.66666667
60,20,70,163.6849131,26.66666667,8.888888889,31.11111111
60,30,5,90.5566872,26.66666667,13.33333333,2.222222222
60,30,10,98.36809596,26.66666667,13.33333333,4.444444444
60,30,20,114.36161,26.66666667,13.33333333,8.888888889
60,30,30,131.5369748,26.66666667,13.33333333,13.33333333
60,30,40,148.6425785,26.66666667,13.33333333,17.77777778
60,30,50,167.2080553,26.66666667,13.33333333,22.22222222
60,30,60,185.4257488,26.66666667,13.33333333,26.66666667
60,30,70,205.3813377,26.66666667,13.33333333,31.11111111
60,40,5,132.2531118,26.66666667,17.77777778,2.222222222
60,40,10,143.2719378,26.66666667,17.77777778,4.444444444
60,40,20,165.6802864,26.66666667,17.77777778,8.888888889
60,40,30,189.2704857,26.66666667,17.77777778,13.33333333
60,40,40,212.790924,26.66666667,17.77777778,17.77777778
60,40,50,237.7712353,26.66666667,17.77777778,22.22222222
60,40,60,262.4037633,26.66666667,17.77777778,26.66666667
60,40,70,288.7741868,26.66666667,17.77777778,31.11111111
60,50,5,257.3423854,26.66666667,22.22222222,2.222222222
60,50,10,277.9834633,26.66666667,22.22222222,4.444444444
60,50,20,319.6363155,26.66666667,22.22222222,8.888888889
60,50,30,362.4710184,26.66666667,22.22222222,13.33333333
60,50,40,405.2359603,26.66666667,22.22222222,17.77777778
60,50,50,449.4607753,26.66666667,22.22222222,22.22222222
60,50,60,493.337807,26.66666667,22.22222222,26.66666667
60,50,70,538.9527341,26.66666667,22.22222222,31.11111111
70,0,5,48.31515542,31.11111111,0,2.222222222
70,0,10,52.37403968,31.11111111,0,4.444444444
70,0,20,60.86250476,31.11111111,0,8.888888889
70,0,30,70.53282046,31.11111111,0,13.33333333
70,0,40,80.13337521,31.11111111,0,17.77777778
70,0,50,91.19380302,31.11111111,0,22.22222222
70,0,60,101.9064475,31.11111111,0,26.66666667
70,0,70,114.3569874,31.11111111,0,31.11111111
70,1,5,48.91281082,31.11111111,0.444444444,2.222222222
70,1,10,53.01153877,31.11111111,0.444444444,4.444444444
70,1,20,61.57969123,31.11111111,0.444444444,8.888888889
70,1,30,71.32969432,31.11111111,0.444444444,13.33333333
70,1,40,81.00993645,31.11111111,0.444444444,17.77777778
70,1,50,92.15005164,31.11111111,0.444444444,22.22222222
70,1,60,102.9423835,31.11111111,0.444444444,26.66666667
70,1,70,115.4726108,31.11111111,0.444444444,31.11111111
70,5,5,51.48732635,31.11111111,2.222222222,2.222222222
70,5,10,55.75768867,31.11111111,2.222222222,4.444444444
70,5,20,64.66910987,31.11111111,2.222222222,8.888888889
70,5,30,74.7623817,31.11111111,2.222222222,13.33333333
70,5,40,84.78589258,31.11111111,2.222222222,17.77777778
70,5,50,96.2692765,31.11111111,2.222222222,22.22222222
70,5,60,107.4048771,31.11111111,2.222222222,26.66666667
70,5,70,120.2783731,31.11111111,2.222222222,31.11111111
70,10,5,55.18819244,31.11111111,4.444444444,2.222222222
70,10,10,59.70527916,31.11111111,4.444444444,4.444444444
70,10,20,69.11014917,31.11111111,4.444444444,8.888888889
70,10,30,79.69686981,31.11111111,4.444444444,13.33333333
70,10,40,90.2138295,31.11111111,4.444444444,17.77777778
70,10,50,102.1906622,31.11111111,4.444444444,22.22222222
70,10,60,113.8197116,31.11111111,4.444444444,26.66666667
70,10,70,127.1866564,31.11111111,4.444444444,31.11111111
70,20,5,64.81044426,31.11111111,8.888888889,2.222222222
70,20,10,69.96901444,31.11111111,8.888888889,4.444444444
70,20,20,80.65685135,31.11111111,8.888888889,8.888888889
70,20,30,92.5265389,31.11111111,8.888888889,13.33333333
70,20,40,104.3264655,31.11111111,8.888888889,17.77777778
70,20,50,117.5862651,31.11111111,8.888888889,22.22222222
70,20,60,130.4982814,31.11111111,8.888888889,26.66666667
70,20,70,145.1481932,31.11111111,8.888888889,31.11111111
70,30,5,79.24382199,31.11111111,13.33333333,2.222222222
70,30,10,85.36461735,31.11111111,13.33333333,4.444444444
70,30,20,97.97690463,31.11111111,13.33333333,8.888888889
70,30,30,111.7710425,31.11111111,13.33333333,13.33333333
70,30,40,125.4954195,31.11111111,13.33333333,17.77777778
70,30,50,140.6796695,31.11111111,13.33333333,22.22222222
70,30,60,155.5161362,31.11111111,13.33333333,26.66666667
70,30,70,172.0904983,31.11111111,13.33333333,31.11111111
70,40,5,103.2994515,31.11111111,17.77777778,2.222222222
70,40,10,111.0239555,31.11111111,17.77777778,4.444444444
70,40,20,126.8436601,31.11111111,17.77777778,8.888888889
70,40,30,143.8452153,31.11111111,17.77777778,13.33333333
70,40,40,160.7770095,31.11111111,17.77777778,17.77777778
70,40,50,179.1686768,31.11111111,17.77777778,22.22222222
70,40,60,197.2125607,31.11111111,17.77777778,26.66666667
70,40,70,216.9943401,31.11111111,17.77777778,31.11111111
70,50,5,151.4107106,31.11111111,22.22222222,2.222222222
70,50,10,162.3426319,31.11111111,22.22222222,4.444444444
70,50,20,184.577171,31.11111111,22.22222222,8.888888889
70,50,30,207.9935607,31.11111111,22.22222222,13.33333333
70,50,40,231.3401895,31.11111111,22.22222222,17.77777778
70,50,50,256.1466913,31.11111111,22.22222222,22.22222222
70,50,60,280.6054098,31.11111111,22.22222222,26.66666667
70,50,70,306.8020237,31.11111111,22.22222222,31.11111111
70,60,5,295.7444879,31.11111111,26.66666667,2.222222222
70,60,10,316.298661,31.11111111,26.66666667,4.444444444
70,60,20,357.7777037,31.11111111,26.66666667,8.888888889
70,60,30,400.4385971,31.11111111,26.66666667,13.33333333
70,60,40,443.0297295,31.11111111,26.66666667,17.77777778
70,60,50,487.080735,31.11111111,26.66666667,22.22222222
70,60,60,530.7839571,31.11111111,26.66666667,26.66666667
70,60,70,576.2250747,31.11111111,26.66666667,31.11111111
