lanelet_id, bound, x, y, yaw
100, leftBound, -298.83734, -127.76102, 2.382890 
100, leftBound, -298.48905, -128.12842, 2.382875 
100, leftBound, -298.14075, -128.49582, 2.382903 
100, leftBound, -297.79246, -128.86323, 2.387781 
100, leftBound, -297.44598, -129.23232, 2.416125 
100, leftBound, -297.11010, -129.61108, 2.447477 
100, leftBound, -296.78626, -130.00018, 2.478834 
100, leftBound, -296.47478, -130.39924, 2.510229 
100, leftBound, -296.17598, -130.80788, 2.541591 
100, leftBound, -295.89014, -131.22569, 2.572953 
100, leftBound, -295.61754, -131.65226, 2.604334 
100, leftBound, -295.35846, -132.08717, 2.635688 
100, leftBound, -295.11314, -132.52999, 2.667061 
100, leftBound, -294.88183, -132.98029, 2.698433 
100, leftBound, -294.66476, -133.43762, 2.729799 
100, leftBound, -294.46214, -133.90153, 2.761171 
100, leftBound, -294.27417, -134.37157, 2.792547 
100, leftBound, -294.10104, -134.84727, 2.823890 
100, leftBound, -293.94290, -135.32817, 2.850136 
100, leftBound, -293.79743, -135.81307, 2.849930 
100, leftBound, -293.65186, -136.29794, 2.844337 
100, leftBound, -293.50358, -136.78199, 2.838689 
100, leftBound, -293.35257, -137.26519, 2.833104 
100, leftBound, -293.19886, -137.74755, 2.827475 
100, leftBound, -293.04244, -138.22903, 2.821841 
100, leftBound, -292.88331, -138.70962, 2.816238 
100, leftBound, -292.72149, -139.18931, 2.810629 
100, leftBound, -292.55698, -139.66809, 2.805000 
100, leftBound, -292.38978, -140.14593, 2.799390 
100, leftBound, -292.21990, -140.62283, 2.793760 
100, leftBound, -292.04734, -141.09876, 2.788149 
100, leftBound, -291.87211, -141.57372, 2.782524 
100, leftBound, -291.69421, -142.04769, 2.776922 
100, leftBound, -291.51366, -142.52065, 2.772813 
100, leftBound, -291.33117, -142.99286, 2.771401 
100, leftBound, -291.14801, -143.46482, 2.770062 
100, leftBound, -290.96422, -143.93653, 2.768712 
100, leftBound, -290.77979, -144.40800, 2.767366 
100, leftBound, -290.59473, -144.87921, 2.766009 
100, leftBound, -290.40903, -145.35017, 2.764659 
100, leftBound, -290.22269, -145.82089, 2.763313 
100, leftBound, -290.03572, -146.29135, 2.761948 
100, leftBound, -289.84811, -146.76155, 2.760617 
100, leftBound, -289.65987, -147.23151, 2.759271 
100, leftBound, -289.47100, -147.70121, 2.757906 
100, leftBound, -289.28149, -148.17065, 2.756567 
100, leftBound, -289.09135, -148.63984, 2.755203 
100, leftBound, -288.90057, -149.10877, 2.754139 
100, leftBound, -288.70929, -149.57750, 2.753999 
100, leftBound, -288.51795, -150.04619, 2.750614 
100, leftBound, -288.32502, -150.51424, 2.745265 
100, leftBound, -288.12959, -150.98125, 2.739909 
100, leftBound, -287.93166, -151.44721, 2.734530 
100, leftBound, -287.73123, -151.91209, 2.729213 
100, leftBound, -287.52833, -152.37590, 2.723844 
100, leftBound, -287.32294, -152.83862, 2.718495 
100, leftBound, -287.11508, -153.30023, 2.713137 
100, leftBound, -286.90475, -153.76072, 2.707772 
100, leftBound, -286.69195, -154.22008, 2.702444 
100, leftBound, -286.47671, -154.67829, 2.697080 
100, leftBound, -286.25901, -155.13535, 2.691709 
100, leftBound, -286.03886, -155.59123, 2.686382 
100, leftBound, -285.81629, -156.04592, 2.681002 
100, leftBound, -285.59127, -156.49942, 2.675675 
100, leftBound, -285.36384, -156.95171, 2.670312 
100, leftBound, -285.13399, -157.40277, 2.664950 
100, leftBound, -284.90172, -157.85260, 2.662052 
100, leftBound, -284.66815, -158.30175, 2.662052 
100, leftBound, -284.43458, -158.75090, 2.662052 
100, leftBound, -284.20101, -159.20005, 2.662052 
100, leftBound, -283.96744, -159.64920, 2.662035 
100, leftBound, -283.73386, -160.09835, 2.662052 
100, leftBound, -283.50029, -160.54750, 2.662052 
100, leftBound, -283.26672, -160.99665, 2.662052 
100, leftBound, -283.03315, -161.44580, -0.530443 
100, rightBound, -301.37738, -130.16896, 2.382903 
100, rightBound, -301.02909, -130.53637, 2.382890 
100, rightBound, -300.68080, -130.90377, 2.382875 
100, rightBound, -300.33250, -131.27117, 2.387260 
100, rightBound, -300.02787, -131.59534, 2.416107 
100, rightBound, -299.76483, -131.89195, 2.447481 
100, rightBound, -299.51122, -132.19667, 2.478859 
100, rightBound, -299.26730, -132.50919, 2.510209 
100, rightBound, -299.03329, -132.82921, 2.541592 
100, rightBound, -298.80944, -133.15641, 2.572942 
100, rightBound, -298.59596, -133.49046, 2.604340 
100, rightBound, -298.39307, -133.83105, 2.635687 
100, rightBound, -298.20095, -134.17784, 2.667070 
100, rightBound, -298.01981, -134.53048, 2.698421 
100, rightBound, -297.84981, -134.88863, 2.729815 
100, rightBound, -297.69114, -135.25193, 2.761157 
100, rightBound, -297.54393, -135.62003, 2.792535 
100, rightBound, -297.40834, -135.99257, 2.823926 
100, rightBound, -297.28451, -136.36918, 2.850515 
100, rightBound, -297.15244, -136.81002, 2.849936 
100, rightBound, -297.00122, -137.31372, 2.844317 
