lanelet_id, adjacentLeft_id, predecessor_id, successor_id
100, 104, 101 ,101
100, 104, 102 ,103
104, 100, 105 ,105
104, 100, 106 ,107
108, 111, 107 ,109
108, 111, 103 ,110
111, 108, 112 ,102
111, 108, 113 ,106
114, 116, 110 ,112
114, 116, 115 ,115
116, 114, 109 ,113
116, 114, 117 ,117
109, -1, 108 ,116
112, -1, 114 ,111
113, -1, 116 ,111
110, -1, 108 ,114
115, -1, 114 ,114
117, -1, 116 ,116
105, -1, 104 ,104
101, -1, 100 ,100
107, -1, 104 ,108
102, -1, 111 ,100
106, -1, 111 ,104
103, -1, 100 ,108
