lanelet_id, bound, x, y
100, leftBound, -298.83734, -127.76102
100, leftBound, -298.48905, -128.12842
100, leftBound, -298.14075, -128.49582
100, leftBound, -297.79246, -128.86323
100, leftBound, -297.44598, -129.23232
100, leftBound, -297.11010, -129.61108
100, leftBound, -296.78626, -130.00018
100, leftBound, -296.47478, -130.39924
100, leftBound, -296.17598, -130.80788
100, leftBound, -295.89014, -131.22569
100, leftBound, -295.61754, -131.65226
100, leftBound, -295.35846, -132.08717
100, leftBound, -295.11314, -132.52999
100, leftBound, -294.88183, -132.98029
100, leftBound, -294.66476, -133.43762
100, leftBound, -294.46214, -133.90153
100, leftBound, -294.27417, -134.37157
100, leftBound, -294.10104, -134.84727
100, leftBound, -293.94290, -135.32817
100, leftBound, -293.79743, -135.81307
100, leftBound, -293.65186, -136.29794
100, leftBound, -293.50358, -136.78199
100, leftBound, -293.35257, -137.26519
100, leftBound, -293.19886, -137.74755
100, leftBound, -293.04244, -138.22903
100, leftBound, -292.88331, -138.70962
100, leftBound, -292.72149, -139.18931
100, leftBound, -292.55698, -139.66809
100, leftBound, -292.38978, -140.14593
100, leftBound, -292.21990, -140.62283
100, leftBound, -292.04734, -141.09876
100, leftBound, -291.87211, -141.57372
100, leftBound, -291.69421, -142.04769
100, leftBound, -291.51366, -142.52065
100, leftBound, -291.33117, -142.99286
100, leftBound, -291.14801, -143.46482
100, leftBound, -290.96422, -143.93653
100, leftBound, -290.77979, -144.40800
100, leftBound, -290.59473, -144.87921
100, leftBound, -290.40903, -145.35017
100, leftBound, -290.22269, -145.82089
100, leftBound, -290.03572, -146.29135
100, leftBound, -289.84811, -146.76155
100, leftBound, -289.65987, -147.23151
100, leftBound, -289.47100, -147.70121
100, leftBound, -289.28149, -148.17065
100, leftBound, -289.09135, -148.63984
100, leftBound, -288.90057, -149.10877
100, leftBound, -288.70929, -149.57750
100, leftBound, -288.51795, -150.04619
100, leftBound, -288.32502, -150.51424
100, leftBound, -288.12959, -150.98125
100, leftBound, -287.93166, -151.44721
100, leftBound, -287.73123, -151.91209
100, leftBound, -287.52833, -152.37590
100, leftBound, -287.32294, -152.83862
100, leftBound, -287.11508, -153.30023
100, leftBound, -286.90475, -153.76072
100, leftBound, -286.69195, -154.22008
