testNo ,repeatNo, agentNo, agentID, agentType, agentTypeNo, x, y, z, yaw, vel_x, vel_y, vel_z, speed, time, sim_time, fps
0, 0, 1, 39, vehicle.mercedes-benz.coupe, 3, -368.200, 209.800, 7.794, -0.436, 0.000, 0.000, -1.958, 1.958, 0.000, 2165.786, 0.000
0, 0, 2, 40, vehicle.mercedes-benz.coupe, 3, -328.400, 190.300, 7.882, -0.436, 0.000, 0.000, -1.469, 1.469, 0.000, 2165.786, 0.000
0, 0, 3, 41, vehicle.mercedes-benz.coupe, 3, -279.000, 169.400, 7.946, 2.705, 0.000, 0.000, -0.979, 0.979, 0.000, 2165.786, 0.000
0, 0, 1, 39, vehicle.mercedes-benz.coupe, 3, -368.200, 209.800, 7.545, -0.436, 0.000, 0.000, -2.935, 2.935, 0.100, 2165.886, 0.000
0, 0, 2, 40, vehicle.mercedes-benz.coupe, 3, -328.400, 190.300, 7.682, -0.436, 0.000, 0.000, -2.447, 2.447, 0.100, 2165.886, 0.000
0, 0, 3, 41, vehicle.mercedes-benz.coupe, 3, -279.000, 169.400, 7.794, 2.705, 0.000, 0.000, -1.958, 1.958, 0.100, 2165.886, 0.000
0, 0, 1, 39, vehicle.mercedes-benz.coupe, 3, -368.198, 209.799, 7.374, -0.436, -0.003, -0.000, -0.572, 0.572, 0.200, 2165.986, 0.000
0, 0, 2, 40, vehicle.mercedes-benz.coupe, 3, -328.399, 190.299, 7.423, -0.436, -0.009, 0.001, -1.694, 1.694, 0.200, 2165.986, 0.000
0, 0, 3, 41, vehicle.mercedes-benz.coupe, 3, -279.000, 169.400, 7.545, 2.705, 0.000, 0.000, -2.935, 2.935, 0.200, 2165.986, 0.000
0, 0, 1, 39, vehicle.mercedes-benz.coupe, 3, -368.198, 209.799, 7.367, -0.436, 0.000, 0.000, 0.163, 0.163, 0.300, 2166.086, 0.000
0, 0, 2, 40, vehicle.mercedes-benz.coupe, 3, -328.398, 190.299, 7.363, -0.436, -0.000, 0.000, -0.050, 0.050, 0.300, 2166.086, 0.000
0, 0, 3, 41, vehicle.mercedes-benz.coupe, 3, -279.002, 169.401, 7.374, 2.705, 0.003, 0.000, -0.572, 0.572, 0.300, 2166.086, 0.000
